lat,lon,alt,yaw,image
38.3155738,-76.5509523,25.026,17,image_1.jpg
38.3156098,-76.5511647,24.981,18,image_2.jpg
38.3156426,-76.5513612,25.022,17,image_3.jpg
38.3156776,-76.5515923,25.022,16,image_4.jpg
38.315715,-76.551798,24.973,16,image_5.jpg
38.3157496,-76.5520092,24.967,15,image_6.jpg
38.3157859,-76.5522265,24.922,15,image_7.jpg
38.3158188,-76.5524378,24.941,15,image_8.jpg
38.3157505,-76.5524523,24.908,14,image_9.jpg
38.3157091,-76.5522332,24.959,12,image_10.jpg
38.315674,-76.5520222,24.988,13,image_11.jpg
38.3156349,-76.5518138,25.004,13,image_12.jpg
38.3155998,-76.5516003,24.997,13,image_13.jpg
38.315568,-76.5513899,25.017,13,image_14.jpg
38.3155293,-76.5511789,25.012,13,image_15.jpg
38.3154944,-76.550961,25.049,12,image_16.jpg
