timestamp,latitude,longitude,altitude,yaw,counter
20250515_225309,41.101485,29.0232718,15.621,78,0
20250515_225310,41.1014852,29.0232719,15.883,78,1
20250515_225312,41.1014853,29.0232719,16.247,78,2
20250515_225313,41.1014853,29.023272,16.561,78,3
20250515_225315,41.1014852,29.023272,16.968,78,4
20250515_225316,41.1014851,29.023272,17.294,78,5
20250515_225318,41.1014852,29.023272,17.625,78,6
20250515_225319,41.1014852,29.023272,18.0,78,7
20250515_225321,41.1014852,29.0232721,18.785,78,8
20250515_225322,41.1014852,29.0232721,19.023,78,9
20250515_225323,41.1014853,29.023272,19.399,78,10
20250515_225325,41.1014853,29.0232719,20.061,78,11
20250515_225327,41.1014852,29.0232721,20.154,78,12
20250515_225328,41.1014855,29.023274,20.155,78,13
20250515_225329,41.1014866,29.023283,20.16,78,14
20250515_225331,41.1014876,29.0232951,20.146,78,15
20250515_225332,41.1014876,29.0232962,20.162,78,16
20250515_225334,41.1014887,29.0232967,20.15,78,17
20250515_225335,41.1015002,29.0232954,20.168,78,18
20250515_225337,41.101515,29.0232922,20.155,78,19
20250515_225338,41.1015161,29.0232919,20.152,78,20
20250515_225340,41.1015163,29.023292,20.13,78,21
20250515_225341,41.1015164,29.023292,20.145,78,22
20250515_225343,41.1015216,29.0232901,20.191,78,23
20250515_225344,41.1015273,29.0232836,20.173,78,24
20250515_225346,41.1015309,29.0232704,20.181,78,25
20250515_225347,41.1015334,29.0232542,20.202,78,26
20250515_225349,41.1015353,29.0232365,20.165,78,27
20250515_225350,41.1015356,29.0232197,20.118,78,28
20250515_225352,41.1015338,29.023205,20.141,78,29
20250515_225353,41.1015317,29.023187,20.145,78,30
20250515_225354,41.1015294,29.0231733,20.143,78,31
20250515_225356,41.1015291,29.0231722,20.126,78,32
20250515_225357,41.1015291,29.0231725,20.144,78,33
20250515_225359,41.1015283,29.0231671,20.156,78,34
20250515_225400,41.1015264,29.0231514,20.162,78,35
20250515_225402,41.1015225,29.0231354,20.188,78,36
20250515_225403,41.1015183,29.0231263,20.201,78,37
20250515_225405,41.1015187,29.0231286,20.173,78,38
20250515_225406,41.1015173,29.0231347,20.187,78,39
20250515_225408,41.1015132,29.0231369,20.162,78,40
20250515_225409,41.1015133,29.023137,20.116,78,41
20250515_225410,41.1015117,29.0231371,20.158,78,42
20250515_225412,41.1015009,29.0231391,20.165,78,43
20250515_225413,41.1014886,29.0231433,20.171,78,44
20250515_225415,41.1014819,29.0231548,20.166,78,45
20250515_225416,41.1014854,29.0231747,20.174,78,46
20250515_225418,41.1014918,29.0231939,20.158,78,47
20250515_225419,41.1014917,29.0231963,20.166,78,48
20250515_225421,41.1014918,29.0231981,20.171,78,49
20250515_225422,41.1014935,29.023212,20.167,78,50
20250515_225424,41.1015,29.0232339,20.18,78,51
20250515_225425,41.1015013,29.0232415,20.17,78,52
20250515_225427,41.1015015,29.023242,20.159,78,53
20250515_225428,41.1015012,29.0232414,20.16,78,54
20250515_225430,41.1015012,29.0232412,20.149,78,55
20250515_225431,41.1014968,29.0232421,20.181,78,56
20250515_225432,41.101489,29.0232434,20.093,78,57
20250515_225434,41.1014844,29.0232436,19.924,78,58
20250515_225435,41.1014807,29.023243,19.495,78,59
20250515_225437,41.1014761,29.0232374,18.437,78,60
20250515_225438,41.1014718,29.0232303,17.322,78,61
20250515_225440,41.1014672,29.0232226,16.118,78,62
20250515_225441,41.1014627,29.0232126,14.695,78,63
20250515_225443,41.1014587,29.0231999,13.25,78,64
20250515_225444,41.1014577,29.0231944,11.816,78,65
20250515_225446,41.1014576,29.0231938,10.397,78,66
20250515_225447,41.1014573,29.023193,8.981,78,67
20250515_225449,41.1014574,29.0231888,7.725,78,68
20250515_225450,41.1014569,29.0231851,6.584,78,69
20250515_225452,41.1014564,29.0231835,5.491,78,70
20250515_225453,41.1014563,29.0231837,4.378,78,71
20250515_225454,41.1014561,29.0231838,3.279,78,72
20250515_225456,41.1014563,29.0231838,2.141,78,73
20250515_225457,41.1014561,29.0231836,1.303,78,74
20250515_225459,41.1014563,29.0231836,0.635,78,75
20250515_225500,41.1014566,29.0231838,0.292,78,76
20250515_225502,41.1014566,29.0231838,0.174,78,77
20250515_225503,41.1014566,29.0231838,-0.019,78,78
20250515_225505,41.1014566,29.0231838,-0.158,78,79
20250515_225506,41.1014566,29.0231838,-0.278,78,80
20250515_225508,41.1014566,29.0231838,-0.285,79,81
20250515_225509,41.1014565,29.0231839,-0.276,79,82
20250515_225511,41.1014565,29.0231839,-0.267,79,83
20250515_225512,41.1014566,29.023184,-0.253,79,84
20250515_225513,41.1014564,29.0231827,0.334,66,85
20250515_225515,41.1014558,29.0231819,0.133,67,86
20250515_225516,41.1014559,29.0231825,-0.12,67,87
20250515_225518,41.101456,29.0231828,-0.197,68,88
20250515_225519,41.1014563,29.0231832,-0.231,69,89
20250515_225521,41.1014565,29.0231831,-0.2,69,90
20250515_225522,41.1014564,29.0231831,-0.233,69,91
20250515_225524,41.1014561,29.0231831,-0.015,70,92
20250515_225525,41.1014533,29.0231734,0.409,54,93
20250515_225527,41.1014457,29.0231602,0.514,15,94
20250515_225528,41.1014398,29.0231475,0.549,344,95
20250515_225530,41.1014382,29.0231317,0.565,349,96
20250515_225531,41.1014351,29.0231103,0.568,358,97
20250515_225532,41.101431,29.0230887,0.514,357,98
20250515_225534,41.1014275,29.0230653,0.515,9,99
20250515_225535,41.1014241,29.0230412,0.519,6,100
