image,class_name,confidence,center_x,center_y
image_2.jpg,stop sign,0.924,2778,1783
image_4.jpg,person,0.836,2181,1774
image_5.jpg,tennis racket,0.77,1932,813
image_4.jpg,traffic light,0.661,3820,1674
image_3.jpg,tennis racket,0.525,1972,2495
image_3.jpg,scissors,0.509,1972,2495
image_1.jpg,person,0.49,2525,2368
image_5.jpg,scissors,0.377,1931,812
image_5.jpg,airplane,0.243,1802,803
image_5.jpg,cell phone,0.145,1801,802
image_2.jpg,tennis racket,0.105,1560,1237
image_4.jpg,tennis racket,0.104,1947,1866
image_5.jpg,remote,0.094,1801,803
image_1.jpg,sports ball,0.054,2536,2319
image_5.jpg,person,0.036,1801,802
image_2.jpg,frisbee,0.03,1536,1289
image_2.jpg,kite,0.022,1597,1262
image_5.jpg,baseball bat,0.021,2047,863
image_2.jpg,person,0.018,1534,1253
image_4.jpg,sports ball,0.016,3820,1680
image_5.jpg,chair,0.016,2050,962
image_1.jpg,cell phone,0.012,2523,2412
image_2.jpg,baseball bat,0.012,1596,1237
image_5.jpg,laptop,0.011,1800,803
image_1.jpg,tennis racket,0.01,2738,2409
